CATEGORY,NAME,ADDRESS,ZIPCODE,PHONE NO.,URL,ADDITIONAL DETAILS
Restaurant,DUNKIN,"RECTOR STREET, Manhattan",10006,Not Available,Not Available,Not Available
Restaurant,MCDONALD'S,"EAST GUNHILL ROAD, Bronx",10469,Not Available,Not Available,Not Available
Restaurant,CAFE 346,"MADISON AVENUE, Manhattan",10017,Not Available,Not Available,Not Available
Restaurant,BAGEL BELLY,"3 AVENUE, Manhattan",10003,Not Available,Not Available,Not Available
Restaurant,MAMA'S NOODLE HOUSE,"BAY RIDGE AVENUE, Brooklyn",11204,Not Available,Not Available,Not Available
Restaurant,Y.N.L.C. CAFE CORP,"30TH AVE, Queens",11103,Not Available,Not Available,Not Available
Restaurant,KARAOKE BOHO,"ORCHARD STREET, Manhattan",10002,Not Available,Not Available,Not Available
Restaurant,DOMINO'S PIZZA #3680,"BROADWAY, Manhattan",10034,Not Available,Not Available,Not Available
Restaurant,DOYLE'S CAFE (GOOGLE),"HUDSON STREET, Manhattan",10014,Not Available,Not Available,Not Available
Restaurant,CAFE CON AMOR,"ROOSEVELT AVE., Queens",11377,Not Available,Not Available,Not Available
Restaurant,RABBIT CLUB,"MACDOUGAL STREET, Manhattan",10012,Not Available,Not Available,Not Available
Restaurant,LA QUINTA MANHATTAN MIDTOWN,"WEST   38 STREET, Manhattan",10018,Not Available,Not Available,Not Available
Restaurant,SARKU JAPAN,"FLATLANDS AVENUE, Brooklyn",11207,Not Available,Not Available,Not Available
Restaurant,THE BAY CAFE,"NEPTUNE AVENUE, Brooklyn",11235,Not Available,Not Available,Not Available
Restaurant,AMA RAW BAR,"AVENUE B, Manhattan",10009,Not Available,Not Available,Not Available
Restaurant,ELSA LA REYNA DEL CHICHARRON,"ST NICHOLAS AVENUE, Manhattan",10032,Not Available,Not Available,Not Available
Restaurant,RESORT WORLD CASINO- REGENCY CLUB,"ROCKAWAY BLVD, Queens",11420,Not Available,Not Available,Not Available
Restaurant,LE PAIN QUOTIDIEN,"MADISON AVENUE, Manhattan",10028,Not Available,Not Available,Not Available
Restaurant,LE PAIN QUOTIDIEN,"3 AVENUE, Manhattan",10017,Not Available,Not Available,Not Available
Restaurant,51ST BAKERY AND CAFE,"51 AVENUE, Queens",11101,Not Available,Not Available,Not Available
Restaurant,DIY KARAOKE,"ROOSEVELT AVE, Queens",11354,Not Available,Not Available,Not Available
Restaurant,UTSAV FESTIVE INDIA RESTAURANT,"AVENUE OF AMERICAS, Manhattan",10036,Not Available,Not Available,Not Available
Restaurant,"TACO BELL, PIZZA HUT","FLUSHING AVENUE, Brooklyn",11206,Not Available,Not Available,Not Available
Restaurant,RAKU JAPAN,"37TH AVE, Queens",11372,Not Available,Not Available,Not Available
Restaurant,"TROYKA, DA MIKELLE PALACE/MIKELLE CORNER","QUEENS BOULEVARD, Queens",11375,Not Available,Not Available,Not Available
Restaurant,BOOMERANG TWO,"162ND ST, Queens",11358,Not Available,Not Available,Not Available
Restaurant,DRIFT IN,"WEST STREET, Manhattan",10014,Not Available,Not Available,Not Available
Restaurant,KIDS TOWN PLAY SPACE,"6 STREET, Brooklyn",11215,Not Available,Not Available,Not Available
Restaurant,STARBUCKS,"3 AVENUE, Brooklyn",11209,Not Available,Not Available,Not Available
Restaurant,SIEMPRE,"3 AVENUE, Brooklyn",11215,Not Available,Not Available,Not Available
Restaurant,EL TAQUITOS,"3 AVENUE, Bronx",10451,Not Available,Not Available,Not Available
Restaurant,YIFANG TAIWAN FRUIT TEA,"58 STREET, Brooklyn",11220,Not Available,Not Available,Not Available
Restaurant,SAKAING CRAP,"9 AVENUE, Manhattan",10019,Not Available,Not Available,Not Available
Restaurant,GOKU KITCHEN,"FOREST AVENUE, Staten Island",10302,Not Available,Not Available,Not Available
Restaurant,LEFKOS PYRGOS,"DITMARS BLVD, Queens",11105,Not Available,Not Available,Not Available
Restaurant,GOODY'S SPANISH FOOD,"PORT RICHMOND AVENUE, Staten Island",10302,Not Available,Not Available,Not Available
Restaurant,GATO VERDE SPORTS BAR,"ROOSEVELT AVENUE, Queens",11372,Not Available,Not Available,Not Available
Restaurant,TRACKSIDE BAR&GRILL,"NEW DORP PLAZA NORTH, Staten Island",10306,Not Available,Not Available,Not Available
Restaurant,UNIQUE LOUNGE,"ARTHUR KILL ROAD, Staten Island",10312,Not Available,Not Available,Not Available
Restaurant,DREDSURFER GRILL,"SEAGIRT BLVD, Queens",11691,Not Available,Not Available,Not Available
Restaurant,BROTHERS BAGEL,"NEPTUNE AVENUE, Brooklyn",11224,Not Available,Not Available,Not Available
Restaurant,COURT SQUARE DINER,"23 STREET, Queens",11101,Not Available,Not Available,Not Available
Restaurant,BUCCANEER DINER,"ASTORIA BLVD, Queens",11369,Not Available,Not Available,Not Available
Restaurant,BOSTON MARKET,"NORTHERN BOULEVARD, Queens",11377,Not Available,Not Available,Not Available
Restaurant,South Brooklyn Foundry,"3 AVENUE, Brooklyn",11209,Not Available,Not Available,Not Available
Restaurant,A & S AT THE HARBOR CATERERS,"BEACH  126 STREET, Queens",11694,Not Available,Not Available,Not Available
Restaurant,A10TH KITCHEN,"AVENUE A, Manhattan",10009,Not Available,Not Available,Not Available
Restaurant,MARA'S GOURMET ICE CREAM PARLOR & ITALIAN ICES,"ROCKAWAY BEACH BLVD, Queens",11693,Not Available,Not Available,Not Available
Restaurant,CASA DEL TORO,"10TH AVE, Manhattan",10036,Not Available,Not Available,Not Available
Restaurant,ARUNEE THAI,"37TH AVE, Queens",11372,Not Available,Not Available,Not Available
Restaurant,GRAB & GO CAFE,"60 STREET, Brooklyn",11220,Not Available,Not Available,Not Available
Restaurant,CHIPOTLE MEXICAN GRILL,"MONTAGUE STREET, Brooklyn",11201,Not Available,Not Available,Not Available
Restaurant,SEA WITCH,"5 AVENUE, Brooklyn",11215,Not Available,Not Available,Not Available
Restaurant,SINIGUAL,"3 AVENUE, Manhattan",10017,Not Available,Not Available,Not Available
Restaurant,CHICK-FIL-A AT FIVE TOWNS,"ROCKAWAY BLVD, Queens",11422,Not Available,Not Available,Not Available
Restaurant,MIGHTY QUINN'S,"BROADWAY, Manhattan",10018,Not Available,Not Available,Not Available
Restaurant,MEXICO 2000,"BROADWAY, Brooklyn",11211,Not Available,Not Available,Not Available
Restaurant,KARVOUNA MEZZE,"BOWERY, Manhattan",10002,Not Available,Not Available,Not Available
Restaurant,HOOK'D ON THE HUDSON,"12 AVENUE, Manhattan",10036,Not Available,Not Available,Not Available
Restaurant,NEEL'S PIZZA & PASTA,"36TH AVE, Queens",11106,Not Available,Not Available,Not Available
Restaurant,LA BAGEL DELIGHT,"LAFAYETTE AVENUE, Brooklyn",11217,Not Available,Not Available,Not Available
Restaurant,WHITE CASTLE,"QUEENS BOULEVARD, Queens",11104,Not Available,Not Available,Not Available
Restaurant,EMILIO'S,"MORRIS PARK AVENUE, Bronx",10461,Not Available,Not Available,Not Available
Restaurant,HART BAR,"HART STREET, Brooklyn",11221,Not Available,Not Available,Not Available
Restaurant,TAQUERIA MONARCA,"EAST   16 STREET, Brooklyn",11229,Not Available,Not Available,Not Available
Restaurant,BEYOND SUSHI,"3 AVENUE, Manhattan",10028,Not Available,Not Available,Not Available
Restaurant,LOUNGE BAR CAVE,"MCDONALD AVENUE, Brooklyn",11223,Not Available,Not Available,Not Available
Restaurant,NEW HONG WONG SEAFOOD RESTAURANT,"BOWERY, Manhattan",10013,Not Available,Not Available,Not Available
Restaurant,HERO CERTIFIED BURGERS,"EAST   78 STREET, Manhattan",10075,Not Available,Not Available,Not Available
Restaurant,PORTO BELLO PIZZERIA & RESTAURANT,"DITMARS BOULEVARD, Queens",11105,Not Available,Not Available,Not Available
Restaurant,TURKISH CUISINE,"9 AVENUE, Manhattan",10036,Not Available,Not Available,Not Available
Restaurant,CIBO EXPRESS,"LAGUARDIA AIRPORT, Queens",11369,Not Available,Not Available,Not Available
Restaurant,SAL'S PIZZERIA,"JAMAICA AVENUE, Queens",11421,Not Available,Not Available,Not Available
Restaurant,HEALTHY FRESH 3,"MORRIS PARK AVENUE, Bronx",10461,Not Available,Not Available,Not Available
Restaurant,"FRIEDMAN'S WEST, PICK-A-BAGEL","WEST END AVENUE, Manhattan",10023,Not Available,Not Available,Not Available
Restaurant,SONEROS NIGHT CLUB BAR,"CORONA AVE, Queens",11373,Not Available,Not Available,Not Available
Restaurant,EM VIETNAMESE BISTRO,"FRONT STREET, Brooklyn",11201,Not Available,Not Available,Not Available
Restaurant,ANDALUCIA BAR & LOUNGE,"BUSHWICK AVENUE, Brooklyn",11207,Not Available,Not Available,Not Available
Restaurant,TRIO RESTAURANT,"UNION TPKE, Queens",11365,Not Available,Not Available,Not Available
Restaurant,ONTARIO BAR,"GRAND STREET, Brooklyn",11211,Not Available,Not Available,Not Available
Restaurant,ANTONIO'S PIZZERIA,"COURT STREET, Brooklyn",11201,Not Available,Not Available,Not Available
Restaurant,EASTVILLE,"ATLANTIC AVENUE, Brooklyn",11217,Not Available,Not Available,Not Available
Restaurant,EMPIRE STEAKHOUSE,"WEST   54 STREET, Manhattan",10019,Not Available,Not Available,Not Available
Restaurant,CORKBUZZ WINEBAR CHELSEA MARKET,"9 AVENUE, Manhattan",10011,Not Available,Not Available,Not Available
Restaurant,SIDEWALK CAFE,"COLUMBUS AVENUE, Manhattan",10023,Not Available,Not Available,Not Available
Restaurant,ASADERO LA FOGATA,"CORONA AVE, Queens",11368,Not Available,Not Available,Not Available
Restaurant,RIVIERA RISTORANTE,"UTOPIA PARKWAY, Queens",11357,Not Available,Not Available,Not Available
Restaurant,LITTLE SHEEP MONGOLIAN HOT POT,"BOWERY, Manhattan",10002,Not Available,Not Available,Not Available
Restaurant,D RUKY NAY ANTOJITOS,"WATSON AVENUE, Bronx",10472,Not Available,Not Available,Not Available
Restaurant,Playdate NYC,"ROOSEVELT AVE, Queens",11354,Not Available,Not Available,Not Available
Restaurant,MARAKAND,"QUEENS BOULEVARD, Queens",11374,Not Available,Not Available,Not Available
Restaurant,J & K GOURMET,"COLLEGE POINT BLVD, Queens",11356,Not Available,Not Available,Not Available
Restaurant,SKY CAFE,"WHITNEY AVE, Queens",11373,Not Available,Not Available,Not Available
Restaurant,"DUNKIN',' BASKIN ROBBINS","EAST KINGSBRIDGE ROAD, Bronx",10468,Not Available,Not Available,Not Available
Restaurant,UPTOWN MARKET,"JFK INTL AIRPORT BLVD, Queens",11430,Not Available,Not Available,Not Available
Restaurant,GEORGINA RESTAURANT,"EAST  163 STREET, Bronx",10459,Not Available,Not Available,Not Available
Restaurant,BROADWAY RESTAURANT,"BROADWAY, Manhattan",10025,Not Available,Not Available,Not Available
Restaurant,"YIWANMEN, CHONG QING NOODLE","MOTT STREET, Manhattan",10013,Not Available,Not Available,Not Available
Restaurant,PARTYBUS BAKESHOP,"ESSEX STREET, Manhattan",10002,Not Available,Not Available,Not Available
Restaurant,MCBEANS RESTAURANT,"FLATBUSH AVENUE, Brooklyn",11210,Not Available,Not Available,Not Available
Restaurant,STAND 213,"EAST  161 STREET, Bronx",10451,Not Available,Not Available,Not Available
Restaurant,KINGDOM PIZZA,"AMBOY ROAD, Staten Island",10312,Not Available,Not Available,Not Available
Restaurant,GREAT WALL,"MOTHER GASTON BOULEVARD, Brooklyn",11212,Not Available,Not Available,Not Available
Restaurant,GREAT WALL CHINESE RESTAURNAT,"EAST  187 STREET, Bronx",10458,Not Available,Not Available,Not Available
Restaurant,SANT AMBROEUS,"WEST    4 STREET, Manhattan",10014,Not Available,Not Available,Not Available
Restaurant,STARBUCKS,"JOHN STREET, Manhattan",10038,Not Available,Not Available,Not Available
Restaurant,ALICE'S TEA CUP,"HICKS STREET, Brooklyn",11201,Not Available,Not Available,Not Available
